[bird_full_deepseek-chat_FULL_seed42] 1534 questions | model=deepseek-chat seed=42 ablation=full workers=8
  [25/1534] latest=bird_25 exec=ok  (14s)
  [50/1534] latest=bird_48 exec=ok  (24s)
  [75/1534] latest=bird_73 exec=ok  (35s)
  [100/1534] latest=bird_97 exec=ok  (45s)
  [125/1534] latest=bird_124 exec=ok  (56s)
  [150/1534] latest=bird_150 exec=ok  (68s)
  [175/1534] latest=bird_175 exec=ok  (78s)
  [200/1534] latest=bird_200 exec=ok  (88s)
  [225/1534] latest=bird_224 exec=ok  (98s)
  [250/1534] latest=bird_251 exec=ok  (109s)
  [275/1534] latest=bird_274 exec=ok  (119s)
  [300/1534] latest=bird_299 exec=ok  (130s)
  [325/1534] latest=bird_325 exec=ok  (140s)
  [350/1534] latest=bird_350 exec=ok  (162s)
  [375/1534] latest=bird_375 exec=ok  (174s)
  [400/1534] latest=bird_400 exec=ok  (187s)
  [425/1534] latest=bird_424 exec=ok  (200s)
  [450/1534] latest=bird_446 exec=ERR  (214s)
  [475/1534] latest=bird_317 exec=ERR  (227s)
  [500/1534] latest=bird_500 exec=ok  (239s)
  [525/1534] latest=bird_527 exec=ok  (254s)
  [550/1534] latest=bird_549 exec=ok  (282s)
  [575/1534] latest=bird_576 exec=ok  (294s)
  [600/1534] latest=bird_599 exec=ok  (306s)
  [625/1534] latest=bird_624 exec=ok  (317s)
  [650/1534] latest=bird_649 exec=ok  (328s)
  [675/1534] latest=bird_675 exec=ok  (339s)
  [700/1534] latest=bird_700 exec=ok  (352s)
  [725/1534] latest=bird_726 exec=ok  (363s)
  [750/1534] latest=bird_749 exec=ok  (372s)
  [775/1534] latest=bird_774 exec=ok  (384s)
  [800/1534] latest=bird_799 exec=ok  (394s)
  [825/1534] latest=bird_824 exec=ok  (403s)
  [850/1534] latest=bird_848 exec=ok  (413s)
  [875/1534] latest=bird_874 exec=ok  (424s)
  [900/1534] latest=bird_900 exec=ok  (437s)
  [925/1534] latest=bird_903 exec=ok  (449s)
  [950/1534] latest=bird_949 exec=ok  (461s)
  [975/1534] latest=bird_973 exec=ok  (474s)
  [1000/1534] latest=bird_995 exec=ok  (486s)
  [1025/1534] latest=bird_1029 exec=ok  (650s)
  [1050/1534] latest=bird_1048 exec=ok  (660s)
  [1075/1534] latest=bird_1074 exec=ok  (673s)
  [1100/1534] latest=bird_1099 exec=ok  (686s)
  [1125/1534] latest=bird_1124 exec=ok  (699s)
  [1150/1534] latest=bird_1144 exec=ok  (712s)
  [1175/1534] latest=bird_1174 exec=ok  (723s)
  [1200/1534] latest=bird_1199 exec=ok  (737s)
  [1225/1534] latest=bird_1225 exec=ok  (748s)
  [1250/1534] latest=bird_1249 exec=ok  (760s)
  [1275/1534] latest=bird_1273 exec=ok  (773s)
  [1300/1534] latest=bird_1299 exec=ok  (784s)
  [1325/1534] latest=bird_1325 exec=ok  (797s)
  [1350/1534] latest=bird_1351 exec=ok  (808s)
  [1375/1534] latest=bird_1371 exec=ok  (819s)
  [1400/1534] latest=bird_1400 exec=ok  (830s)
  [1425/1534] latest=bird_1423 exec=ok  (840s)
  [1450/1534] latest=bird_1452 exec=ok  (853s)
  [1475/1534] latest=bird_1473 exec=ok  (866s)
  [1500/1534] latest=bird_1500 exec=ok  (880s)
  [1525/1534] latest=bird_1525 exec=ok  (894s)
  [1534/1534] latest=bird_1481 exec=ERR  (939s)
[bird_full_deepseek-chat_FULL_seed42] running official bird evaluator ...
[bird_full_deepseek-chat_FULL_seed42] EX = 55.48  (n=1534)
[bird_full_deepseek-chat_FULL_seed42] wrote /Users/bytedance/Desktop/研二下/GraphWalker-SQL-2.0/outputs/bird_full_deepseek-chat_FULL_seed42.json
[bird_full_deepseek-chat_FULL_seed42] LLM: {'num_calls': 4793, 'input_tokens': 2736663, 'output_tokens': 157962} | 939.1s
