[bird_colalign_deepseek-chat_FULL2_seed42] 1534 questions | model=deepseek-chat seed=42 ablation=colalign workers=6
  [25/1534] latest=bird_25 exec=ok  (23s)
  [50/1534] latest=bird_50 exec=ok  (42s)
  [75/1534] latest=bird_75 exec=ok  (61s)
  [100/1534] latest=bird_94 exec=ok  (79s)
  [125/1534] latest=bird_126 exec=ok  (100s)
  [150/1534] latest=bird_150 exec=ok  (118s)
  [175/1534] latest=bird_173 exec=ok  (133s)
  [200/1534] latest=bird_198 exec=ok  (148s)
  [225/1534] latest=bird_224 exec=ok  (162s)
  [250/1534] latest=bird_246 exec=ok  (179s)
  [275/1534] latest=bird_274 exec=ok  (192s)
  [300/1534] latest=bird_298 exec=ok  (208s)
  [325/1534] latest=bird_324 exec=ok  (224s)
  [350/1534] latest=bird_351 exec=ok  (248s)
  [375/1534] latest=bird_374 exec=ok  (265s)
  [400/1534] latest=bird_399 exec=ok  (281s)
  [425/1534] latest=bird_423 exec=ok  (297s)
  [450/1534] latest=bird_448 exec=ok  (316s)
  [475/1534] latest=bird_474 exec=ok  (332s)
  [500/1534] latest=bird_501 exec=ok  (349s)
  [525/1534] latest=bird_526 exec=ok  (371s)
  [550/1534] latest=bird_550 exec=ok  (401s)
  [575/1534] latest=bird_575 exec=ok  (416s)
  [600/1534] latest=bird_603 exec=ok  (433s)
  [625/1534] latest=bird_625 exec=ok  (445s)
  [650/1534] latest=bird_651 exec=ok  (463s)
  [675/1534] latest=bird_675 exec=ok  (479s)
  [700/1534] latest=bird_701 exec=ok  (499s)
  [725/1534] latest=bird_727 exec=ok  (517s)
  [750/1534] latest=bird_750 exec=ok  (530s)
  [775/1534] latest=bird_773 exec=ok  (545s)
  [800/1534] latest=bird_798 exec=ok  (560s)
  [825/1534] latest=bird_824 exec=ok  (574s)
  [850/1534] latest=bird_847 exec=ok  (587s)
  [875/1534] latest=bird_875 exec=ok  (607s)
  [900/1534] latest=bird_899 exec=ok  (624s)
  [925/1534] latest=bird_924 exec=ok  (645s)
  [950/1534] latest=bird_949 exec=ok  (662s)
  [975/1534] latest=bird_977 exec=ok  (682s)
  [1000/1534] latest=bird_994 exec=ok  (699s)
  [1025/1534] latest=bird_1026 exec=ok  (788s)
  [1050/1534] latest=bird_1049 exec=ok  (804s)
  [1075/1534] latest=bird_1074 exec=ok  (819s)
  [1100/1534] latest=bird_1098 exec=ok  (835s)
  [1125/1534] latest=bird_1124 exec=ok  (851s)
  [1150/1534] latest=bird_1152 exec=ok  (867s)
  [1175/1534] latest=bird_1174 exec=ok  (883s)
  [1200/1534] latest=bird_1197 exec=ok  (899s)
  [1225/1534] latest=bird_1224 exec=ok  (916s)
  [1250/1534] latest=bird_1249 exec=ok  (932s)
  [1275/1534] latest=bird_1275 exec=ok  (950s)
  [1300/1534] latest=bird_1299 exec=ok  (965s)
  [1325/1534] latest=bird_1324 exec=ok  (981s)
  [1350/1534] latest=bird_1351 exec=ok  (998s)
  [1375/1534] latest=bird_1373 exec=ok  (1013s)
  [1400/1534] latest=bird_1400 exec=ok  (1032s)
  [1425/1534] latest=bird_1424 exec=ok  (1051s)
  [1450/1534] latest=bird_1450 exec=ok  (1071s)
  [1475/1534] latest=bird_1475 exec=ok  (1088s)
  [1500/1534] latest=bird_1499 exec=ok  (1107s)
  [1525/1534] latest=bird_1525 exec=ok  (1122s)
  [1534/1534] latest=bird_1533 exec=ok  (1129s)
[bird_colalign_deepseek-chat_FULL2_seed42] running official bird evaluator ...
[bird_colalign_deepseek-chat_FULL2_seed42] EX = 55.67  (n=1534)
[bird_colalign_deepseek-chat_FULL2_seed42] wrote /Users/bytedance/Desktop/研二下/GraphWalker-SQL-2.0/outputs/bird_colalign_deepseek-chat_FULL2_seed42.json
[bird_colalign_deepseek-chat_FULL2_seed42] LLM: {'num_calls': 5067, 'input_tokens': 2795301, 'output_tokens': 159733} | 1129.3s
