[bird_valground_deepseek-chat_FULLVG_seed42] 1534 questions | model=deepseek-chat seed=42 ablation=valground workers=6
  [25/1534] latest=bird_22 exec=ok  (45s)
  [50/1534] latest=bird_53 exec=ok  (76s)
  [75/1534] latest=bird_73 exec=ok  (98s)
  [100/1534] latest=bird_100 exec=ok  (117s)
  [125/1534] latest=bird_121 exec=ok  (136s)
  [150/1534] latest=bird_151 exec=ok  (155s)
  [175/1534] latest=bird_175 exec=ok  (175s)
  [200/1534] latest=bird_196 exec=ok  (194s)
  [225/1534] latest=bird_226 exec=ok  (208s)
  [250/1534] latest=bird_251 exec=ok  (226s)
  [275/1534] latest=bird_275 exec=ok  (242s)
  [300/1534] latest=bird_301 exec=ok  (257s)
  [325/1534] latest=bird_324 exec=ok  (271s)
  [350/1534] latest=bird_348 exec=ok  (303s)
  [375/1534] latest=bird_376 exec=ok  (332s)
  [400/1534] latest=bird_397 exec=ok  (360s)
  [425/1534] latest=bird_424 exec=ERR  (395s)
  [450/1534] latest=bird_451 exec=ok  (422s)
  [475/1534] latest=bird_475 exec=ok  (459s)
  [500/1534] latest=bird_499 exec=ok  (490s)
  [525/1534] latest=bird_524 exec=ok  (529s)
  [550/1534] latest=bird_548 exec=ok  (569s)
  [575/1534] latest=bird_575 exec=ok  (591s)
  [600/1534] latest=bird_602 exec=ok  (614s)
  [625/1534] latest=bird_624 exec=ok  (633s)
  [650/1534] latest=bird_653 exec=ok  (663s)
  [675/1534] latest=bird_675 exec=ok  (680s)
  [700/1534] latest=bird_701 exec=ok  (704s)
  [725/1534] latest=bird_724 exec=ok  (727s)
  [750/1534] latest=bird_751 exec=ok  (740s)
  [775/1534] latest=bird_774 exec=ok  (753s)
  [800/1534] latest=bird_799 exec=ok  (765s)
  [825/1534] latest=bird_823 exec=ok  (779s)
  [850/1534] latest=bird_850 exec=ok  (791s)
  [875/1534] latest=bird_871 exec=ok  (806s)
  [900/1534] latest=bird_899 exec=ok  (821s)
  [925/1534] latest=bird_925 exec=ok  (836s)
  [950/1534] latest=bird_949 exec=ok  (851s)
  [975/1534] latest=bird_973 exec=ok  (865s)
  [1000/1534] latest=bird_999 exec=ok  (881s)
  [1025/1534] latest=bird_1025 exec=ok  (968s)
  [1050/1534] latest=bird_1051 exec=ok  (988s)
  [1075/1534] latest=bird_1072 exec=ok  (1008s)
  [1100/1534] latest=bird_1102 exec=ok  (1038s)
  [1125/1534] latest=bird_1127 exec=ok  (1063s)
  [1150/1534] latest=bird_1150 exec=ok  (1087s)
  [1175/1534] latest=bird_1174 exec=ok  (1101s)
  [1200/1534] latest=bird_1199 exec=ok  (1114s)
  [1225/1534] latest=bird_1225 exec=ok  (1129s)
  [1250/1534] latest=bird_1249 exec=ok  (1143s)
  [1275/1534] latest=bird_1274 exec=ok  (1158s)
  [1300/1534] latest=bird_1289 exec=ok  (1174s)
  [1325/1534] latest=bird_1325 exec=ok  (1189s)
  [1350/1534] latest=bird_1349 exec=ok  (1203s)
  [1375/1534] latest=bird_1374 exec=ok  (1217s)
  [1400/1534] latest=bird_1400 exec=ok  (1234s)
  [1425/1534] latest=bird_1425 exec=ok  (1250s)
  [1450/1534] latest=bird_1450 exec=ok  (1269s)
  [1475/1534] latest=bird_1470 exec=ERR  (1283s)
  [1500/1534] latest=bird_1500 exec=ok  (1300s)
  [1525/1534] latest=bird_1524 exec=ok  (1316s)
  [1534/1534] latest=bird_1533 exec=ok  (1322s)
[bird_valground_deepseek-chat_FULLVG_seed42] running official bird evaluator ...
[bird_valground_deepseek-chat_FULLVG_seed42] EX = 55.28  (n=1534)
[bird_valground_deepseek-chat_FULLVG_seed42] wrote /Users/bytedance/Desktop/研二下/GraphWalker-SQL-2.0/outputs/bird_valground_deepseek-chat_FULLVG_seed42.json
[bird_valground_deepseek-chat_FULLVG_seed42] LLM: {'num_calls': 4795, 'input_tokens': 2762866, 'output_tokens': 151562} | 1322.4s
