[bird_full_deepseek-chat_rerun_all_bird_full_seed42] 1534 questions | model=deepseek-chat seed=42 ablation=full workers=6
  [25/1534] latest=bird_24 exec=ok  (149s)
  [50/1534] latest=bird_49 exec=ok  (162s)
  [75/1534] latest=bird_73 exec=ok  (173s)
  [100/1534] latest=bird_104 exec=ok  (318s)
  [125/1534] latest=bird_124 exec=ok  (329s)
  [150/1534] latest=bird_152 exec=ok  (341s)
  [175/1534] latest=bird_173 exec=ok  (351s)
  [200/1534] latest=bird_199 exec=ok  (490s)
  [225/1534] latest=bird_224 exec=ok  (500s)
  [250/1534] latest=bird_249 exec=ok  (510s)
  [275/1534] latest=bird_272 exec=ok  (520s)
  [300/1534] latest=bird_301 exec=ok  (661s)
  [325/1534] latest=bird_325 exec=ok  (672s)
  [350/1534] latest=bird_353 exec=ok  (818s)
  [375/1534] latest=bird_375 exec=ok  (835s)
  [400/1534] latest=bird_400 exec=ok  (848s)
  [425/1534] latest=bird_425 exec=ok  (861s)
  [450/1534] latest=bird_451 exec=ok  (1004s)
  [475/1534] latest=bird_472 exec=ok  (1014s)
  [500/1534] latest=bird_499 exec=ok  (1025s)
  [525/1534] latest=bird_526 exec=ok  (1171s)
  [550/1534] latest=bird_550 exec=ok  (1197s)
  [575/1534] latest=bird_577 exec=ok  (1336s)
  [600/1534] latest=bird_598 exec=ok  (1346s)
  [625/1534] latest=bird_624 exec=ok  (1356s)
  [650/1534] latest=bird_649 exec=ok  (1367s)
  [675/1534] latest=bird_668 exec=ok  (1508s)
  [700/1534] latest=bird_701 exec=ok  (1521s)
  [725/1534] latest=bird_725 exec=ok  (1533s)
  [750/1534] latest=bird_748 exec=ok  (1542s)
  [775/1534] latest=bird_772 exec=ok  (1551s)
  [800/1534] latest=bird_804 exec=ok  (1693s)
  [825/1534] latest=bird_824 exec=ok  (1703s)
  [850/1534] latest=bird_850 exec=ok  (1712s)
  [875/1534] latest=bird_873 exec=ok  (1722s)
  [900/1534] latest=bird_902 exec=ok  (1861s)
  [925/1534] latest=bird_925 exec=ok  (1876s)
  [950/1534] latest=bird_950 exec=ok  (1888s)
  [975/1534] latest=bird_973 exec=ok  (1899s)
  [1000/1534] latest=bird_999 exec=ok  (2043s)
  [1025/1534] latest=bird_1025 exec=ok  (2239s)
  [1050/1534] latest=bird_1053 exec=ok  (2284s)
  [1075/1534] latest=bird_1078 exec=ok  (2444s)
  [1100/1534] latest=bird_1098 exec=ok  (2468s)
  [1125/1534] latest=bird_1126 exec=ok  (2614s)
  [1150/1534] latest=bird_1151 exec=ok  (2624s)
  [1175/1534] latest=bird_1174 exec=ok  (2634s)
  [1200/1534] latest=bird_1199 exec=ok  (2644s)
  [1225/1534] latest=bird_1224 exec=ok  (2653s)
  [1250/1534] latest=bird_1249 exec=ok  (2664s)
  [1275/1534] latest=bird_1275 exec=ok  (2674s)
  [1300/1534] latest=bird_1299 exec=ok  (2683s)
  [1325/1534] latest=bird_1323 exec=ok  (2693s)
  [1350/1534] latest=bird_1349 exec=ok  (2701s)
  [1375/1534] latest=bird_1371 exec=ok  (2710s)
  [1400/1534] latest=bird_1399 exec=ok  (2719s)
  [1425/1534] latest=bird_1423 exec=ok  (2728s)
  [1450/1534] latest=bird_1449 exec=ok  (2738s)
  [1475/1534] latest=bird_1475 exec=ok  (2747s)
  [1500/1534] latest=bird_1497 exec=ok  (2758s)
  [1525/1534] latest=bird_1523 exec=ok  (2767s)
  [1534/1534] latest=bird_1533 exec=ok  (2771s)
[bird_full_deepseek-chat_rerun_all_bird_full_seed42] running official bird evaluator ...
[bird_full_deepseek-chat_rerun_all_bird_full_seed42] EX = 55.74  (n=1534)
[bird_full_deepseek-chat_rerun_all_bird_full_seed42] wrote /Users/bytedance/Desktop/研二下/GraphWalker-SQL-2.0/outputs/bird_full_deepseek-chat_rerun_all_bird_full_seed42.json
[bird_full_deepseek-chat_rerun_all_bird_full_seed42] LLM: {'num_calls': 4791, 'input_tokens': 2720796, 'output_tokens': 140704} | 2771.5s
