[spider1_full_deepseek-chat_rerun_all_spider1_full_seed42] 1034 questions | model=deepseek-chat seed=42 ablation=full workers=6
  [25/1034] latest=spider1_27 exec=ok  (12s)
  [50/1034] latest=spider1_49 exec=ok  (21s)
  [75/1034] latest=spider1_76 exec=ok  (31s)
  [100/1034] latest=spider1_101 exec=ok  (42s)
  [125/1034] latest=spider1_125 exec=ok  (52s)
  [150/1034] latest=spider1_150 exec=ok  (63s)
  [175/1034] latest=spider1_174 exec=ok  (74s)
  [200/1034] latest=spider1_198 exec=ok  (83s)
  [225/1034] latest=spider1_223 exec=ok  (93s)
  [250/1034] latest=spider1_247 exec=ok  (105s)
  [275/1034] latest=spider1_271 exec=ok  (114s)
  [300/1034] latest=spider1_299 exec=ok  (125s)
  [325/1034] latest=spider1_323 exec=ok  (134s)
  [350/1034] latest=spider1_349 exec=ok  (144s)
  [375/1034] latest=spider1_373 exec=ok  (154s)
  [400/1034] latest=spider1_398 exec=ok  (300s)
  [425/1034] latest=spider1_421 exec=ok  (309s)
  [450/1034] latest=spider1_450 exec=ok  (320s)
  [475/1034] latest=spider1_479 exec=ok  (457s)
  [500/1034] latest=spider1_501 exec=ok  (474s)
  [525/1034] latest=spider1_524 exec=ok  (484s)
  [550/1034] latest=spider1_551 exec=ok  (495s)
  [575/1034] latest=spider1_574 exec=ok  (511s)
  [600/1034] latest=spider1_599 exec=ok  (521s)
  [625/1034] latest=spider1_625 exec=ok  (532s)
  [650/1034] latest=spider1_649 exec=ok  (543s)
  [675/1034] latest=spider1_670 exec=ok  (687s)
  [700/1034] latest=spider1_697 exec=ok  (696s)
  [725/1034] latest=spider1_723 exec=ok  (705s)
  [750/1034] latest=spider1_748 exec=ok  (714s)
  [775/1034] latest=spider1_777 exec=ok  (848s)
  [800/1034] latest=spider1_800 exec=ok  (860s)
  [825/1034] latest=spider1_824 exec=ok  (870s)
  [850/1034] latest=spider1_848 exec=ok  (880s)
  [875/1034] latest=spider1_872 exec=ok  (892s)
  [900/1034] latest=spider1_899 exec=ok  (901s)
  [925/1034] latest=spider1_924 exec=ok  (912s)
  [950/1034] latest=spider1_949 exec=ok  (922s)
  [975/1034] latest=spider1_974 exec=ok  (932s)
  [1000/1034] latest=spider1_999 exec=ok  (945s)
  [1025/1034] latest=spider1_1024 exec=ok  (953s)
  [1034/1034] latest=spider1_1033 exec=ok  (957s)
[spider1_full_deepseek-chat_rerun_all_spider1_full_seed42] running official spider1 evaluator ...
[spider1_full_deepseek-chat_rerun_all_spider1_full_seed42] EX = 77.10000000000001  (n=1034)
[spider1_full_deepseek-chat_rerun_all_spider1_full_seed42] wrote /Users/bytedance/Desktop/研二下/GraphWalker-SQL-2.0/outputs/spider1_full_deepseek-chat_rerun_all_spider1_full_seed42.json
[spider1_full_deepseek-chat_rerun_all_spider1_full_seed42] LLM: {'num_calls': 3202, 'input_tokens': 1152371, 'output_tokens': 70484} | 956.9s
